怪物,出生点,等待时间,路线
音速,1,30,1
音速,1,20,1
音速,1,10,1
音速,1,10,1
音速,1,10,1
音速,1,10,1
音速,1,10,1
音速,1,10,1
音速,1,10,1
音速,1,10,1
音速,1,10,1
音速,1,10,1
音速,1,5,1
音速,1,5,1
音速,1,5,1
音速,1,5,1
音速,1,5,1
音速,1,5,1
音速,1,5,1
音速,1,5,1
音速,1,5,1
音速,1,5,1
音速,1,5,1
音速,1,5,1
音速,0,2,0
音速,0,2,0
大厨,0,2,0
铁匠,0,2,0
铁匠,0,2,0
铁匠,0,2,0
大厨,0,6,0
大厨,0,2,0
大厨,0,2,0
大厨,0,6,0
大厨,0,2,0
大厨,0,2,0
大厨,0,6,0
大厨,0,2,0
大厨,0,2,0
大厨,0,6,0
大厨,0,2,0
大厨,0,2,0
大厨,0,6,0
大厨,0,2,0
大厨,0,2,0
大厨,0,2,0
大厨,0,2,0
大厨,0,2,0
大厨,0,1,0
大厨,0,1,0
大厨,0,1,0
大厨,0,1,0
大厨,0,1,0
大厨,0,1,0
大厨,0,1,0
大厨,0,1,0
大厨,0,1,0
大厨,0,1,0
