怪物,出生点,等待时间,路线
快影,0,20,0
快影,0,1,0
快影,0,1,0
快影,0,1,0
快影,0,1,0
快影,0,5,0
快影,0,1,0
快影,0,1,0
快影,0,1,0
快影,0,1,0
快影,0,5,0
快影,0,1,0
快影,0,1,0
快影,0,1,0
快影,0,1,0
快影,0,5,0
快影,0,1,0
快影,0,1,0
快影,0,1,0
快影,0,1,0
快影,0,4,0
快影,0,0.6,0
快影,0,0.6,0
快影,0,0.6,0
快影,0,0.6,0
快影,0,4,0
快影,0,0.6,0
快影,0,0.6,0
快影,0,0.6,0
快影,0,0.6,0
快影,0,4,0
快影,0,0.6,0
快影,0,0.6,0
快影,0,0.6,0
快影,0,0.6,0
快影,0,3,0
快影,0,0.4,0
快影,0,0.4,0
快影,0,0.4,0
快影,0,0.4,0
快影,0,3,0
快影,0,0.4,0
快影,0,0.4,0
快影,0,0.4,0
快影,0,0.4,0
快影,0,3,0
快影,0,0.4,0
快影,0,0.4,0
快影,0,0.4,0
快影,0,0.4,0
快影,0,3,0
快影,0,0.4,0
快影,0,0.4,0
快影,0,0.4,0
快影,0,0.4,0
快影,0,2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,0.2,0
快影,0,1,0
快影,0,0.1,0
快影,0,0.1,0
快影,0,0.1,0
快影,0,0.1,0
快影,0,1,0
快影,0,0.1,0
快影,0,0.1,0
快影,0,0.1,0
快影,0,0.1,0
快影,0,1,0
快影,0,0.1,0
快影,0,0.1,0
快影,0,0.1,0
快影,0,0.1,0
快影,0,1,0
快影,0,0.1,0
快影,0,0.1,0
快影,0,0.1,0
快影,0,0.1,0
快影,0,1,0
快影,0,0.1,0
快影,0,0.1,0
快影,0,0.1,0
快影,0,0.1,0
快影,0,1,0
快影,0,0.1,0
快影,0,0.1,0
快影,0,0.1,0
快影,0,0.1,0
快影,0,1,0
快影,0,0.1,0
快影,0,0.1,0
快影,0,0.1,0
快影,0,0.1,0
