怪物,出生点,等待时间,路线
气球铁匠,0,0,0
气球铁匠,0,1,0
气球铁匠,0,1,0
气球铁匠,0,1,0
气球铁匠,0,1,0
气球铁匠,3,80,0
气球铁匠,4,10,0
气球铁匠,5,10,0
气球铁匠,0,20,0
气球铁匠,3,0,0
气球铁匠,4,0,0
气球铁匠,5,0,0
气球铁匠,0,10,0
气球铁匠,3,0,0
气球铁匠,4,0,0
气球铁匠,5,0,0
气球铁匠,0,10,0
气球铁匠,3,0,0
气球铁匠,4,0,0
气球铁匠,5,0,0
气球铁匠,0,5,0
气球铁匠,3,0,0
气球铁匠,4,0,0
气球铁匠,5,0,0
气球铁匠,0,5,0
气球铁匠,3,0,0
气球铁匠,4,0,0
气球铁匠,5,0,0
气球铁匠,0,5,0
气球铁匠,3,0,0
气球铁匠,4,0,0
气球铁匠,5,0,0
气球铁匠,0,3,0
气球铁匠,3,0,0
气球铁匠,4,0,0
气球铁匠,5,0,0
气球铁匠,0,3,0
气球铁匠,3,0,0
气球铁匠,4,0,0
气球铁匠,5,0,0
气球铁匠,0,3,0
气球铁匠,3,0,0
气球铁匠,4,0,0
气球铁匠,5,0,0
气球铁匠,0,3,0
气球铁匠,3,0,0
气球铁匠,4,0,0
气球铁匠,5,0,0
