怪物,出生点,等待时间,路线
清道夫血牛,0,15,0
清道夫血牛,0,5,0
清道夫血牛,0,5,0
清道夫血牛,0,5,0
清道夫血牛,0,5,0
清道夫血牛,0,5,0
清道夫血牛,0,5,0
清道夫血牛,0,4,0
清道夫血牛,0,4,0
清道夫血牛,0,4,0
清道夫血牛,0,4,0
清道夫血牛,0,2,0
清道夫血牛,0,2,0
清道夫血牛,0,2,0
清道夫血牛,0,2,0
清道夫血牛,0,2,0
清道夫血牛,0,25,0
清道夫血牛,0,1,0
清道夫血牛,0,1,0
清道夫血牛,0,3,0
清道夫血牛,0,1,0
清道夫血牛,0,1,0
清道夫血牛,0,3,0
清道夫血牛,0,1,0
清道夫血牛,0,1,0
清道夫血牛,0,3,0
清道夫血牛,0,1,0
清道夫血牛,0,1,0
清道夫血牛,0,3,0
清道夫血牛,0,1,0
清道夫血牛,0,1,0
清道夫血牛,0,3,0
清道夫血牛,0,1,0
清道夫血牛,0,1,0
清道夫血牛,0,10,0
清道夫血牛,0,1,0
清道夫血牛,0,1,0
清道夫血牛,0,1,0
清道夫2,0,1,0
清道夫血牛,0,1,0
清道夫血牛,0,1,0
清道夫血牛,0,1,0
清道夫2,0,1,0
清道夫血牛,0,1,0
清道夫血牛,0,1,0
清道夫血牛,0,1,0
清道夫2,0,1,0
清道夫血牛,0,1,0
清道夫血牛,0,1,0
清道夫血牛,0,1,0
清道夫2,0,1,0
清道夫血牛,0,1,0
清道夫血牛,0,1,0
清道夫血牛,0,1,0
清道夫2,0,1,0
